stop_id,stop_name,stop_lat,stop_lon,A1,A2,A3,A4,stop_short_name,tts_stop_name,location_type,platform_code,parent_station,stop_code,stop_url,public_visible,jurisdiction,address,postal_code,locality,parish_id,parish_name,municipality_id,municipality_name,district_id,district_name,region_id,region_name,last_stop_update,has_pole,pole_material,has_shelter,shelter_code,shelter_maintainer,has_mupi,has_bench,has_trash_bin,has_lighting,has_electricity,docking_bay_type,last_infrastructure_maintenance,last_infrastructure_check,has_stop_sign,stop_sign_maintainer,has_pole_frame,shelter_frame_area_cm,has_pip_real_time,pip_real_time_code,has_h2oa_signage,has_schedules,has_network_map,last_schedules_maintenance,last_schedules_check,last_stop_sign_maintenance,last_stop_sign_check,has_sidewalk,sidewalk_type,has_tactile_schedules,stop_access_type,has_crosswalk,has_tactile_pavement,has_abusive_parking,has_audio_stop_info,wheelchair_boarding,last_accessibility_check,near_health_clinic,near_hospital,near_university,near_school,near_police_station,near_fire_station,near_shopping,near_historic_building,near_transit_office,light_rail,subway,train,boat,airport,bike_sharing,bike_parking,car_parking
140297,AMORA (R OPERÁRIOS N28),38.630600,-9.114820,0,0,1,0,,Amóra ( Rua Operários ( Número 28 ) ),0,,,140297,,1,,,,Amora,,,1510,Seixal,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140309,AMORA AV BAÍA NAT SEIXAL 998 (SEG SOC),38.629400,-9.117740,0,0,1,0,,Amóra Avenida Baía Natural Seixal 998 ( Segurança Social ),0,,,140309,,1,,,,Amora,,,1510,Seixal,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
140310,AMORA AV BAÍA NAT SEIXAL 998 (SEG SOC),38.629410,-9.117570,0,0,1,0,,Amóra Avenida Baía Natural Seixal 998 ( Segurança Social ),0,,,140310,,1,,,,Amora,,,1510,Seixal,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
140311,AMORA R EMIDIO GUI GAR MENDES 29 (CTT),38.627600,-9.115540,0,0,1,0,,Amóra Rua Emidio Guilherme Garcia Mendes 29 ( Correios ),0,,,140311,,1,,,,Amora,,,1510,Seixal,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
140313,AMORA (R DR EMIDIO GUI GAR MENDES 32),38.625000,-9.114390,0,0,1,0,,Amóra ( Rua Doutor Emidio Guilherme Garcia Mendes 32 ),0,,,140313,,1,,,,Amora,,,1510,Seixal,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140314,AMORA (R DR EMIDIO GUI GAR MENDES 32),38.624900,-9.114430,0,0,1,0,,Amóra ( Rua Doutor Emidio Guilherme Garcia Mendes 32 ),0,,,140314,,1,,,,Amora,,,1510,Seixal,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140315,AMORA AV AFONSO COSTA 7 ESCOLA,38.622000,-9.111580,0,0,1,0,,Amóra Avenida Afonso Costa 7 Escola,0,,,140315,,1,,,,Seixal,,,1510,Seixal,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
140331,P PIRES (AV GENH DELGADO 36),38.624340,-9.085820,0,0,1,0,,Paio Pires ( Avenida Gen Humberto Delgado 36 ),0,,,140331,,1,,,,Paio Pires,,,1510,Seixal,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140343,AMORA AV AF COSTA (ESCOLA PAULO GAMA),38.622280,-9.112140,0,0,1,0,,Amóra Avenida Afonso Costa ( Escola Paulo Gama ),0,,,140343,,1,,,,Amora,,,1510,Seixal,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
140345,AMORA (R E G G MENDES N12),38.626900,-9.115280,0,0,1,0,,Amóra ( Rua E G G Mendes ( Número 12 ) ),0,,,140345,,1,,,,Amora,,,1510,Seixal,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
140519,AMORA (AV AFONSO COSTA N31),38.623200,-9.114570,0,0,1,0,,Amóra ( Avenida Afonso Costa ( Número 31 ) ),0,,,140519,,1,,,,Amora,,,1510,Seixal,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140520,AMORA (AV AFONSO COSTA N31),38.623100,-9.114590,0,0,1,0,,Amóra ( Avenida Afonso Costa ( Número 31 ) ),0,,,140520,,1,,,,Amora,,,1510,Seixal,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140655,PINHAL C CUNHA (AV 25 ABRIL 56),38.613000,-9.134980,0,0,1,0,,Pinhal Do Conde Da Cunha ( Avenida 25 Abril 56 ),0,,,140655,,1,,,,Pinhal de Cima,,,1510,Seixal,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140663,PINHAL C CUNHA (R ADOLFO C MTEIRO 633),38.612100,-9.135520,0,0,1,0,,Pinhal Do Conde Da Cunha ( Rua Adolfo Cê Mteiro 633 ),0,,,140663,,1,,,,Pinhal de Cima,,,1510,Seixal,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140843,M GRILO (EN378 N8) (X) AV 10 JUN (ROT),38.551820,-9.100720,0,0,1,0,,Cruzamento Entre ( Marco Do Grilo ( Estrada Nacional 378 N 8 ) ) E ( Avenida 10 Junho ( Rotunda ) ),0,,,140843,,1,,,,Seixal,,,1510,Seixal,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140844,M GRILO (EN378 N8) (X) AV 10 JUN (ROT),38.551780,-9.100990,0,0,1,0,,Cruzamento Entre ( Marco Do Grilo ( Estrada Nacional 378 N 8 ) ) E ( Avenida 10 Junho ( Rotunda ) ),0,,,140844,,1,,,,Seixal,,,1510,Seixal,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149989,Foros de Amora P4,38.620220,-9.127690,0,0,1,0,,Foros De Amóra ( P 4 ),0,,,149989,,1,,,,,,,1510,Seixal,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149990,Foros de Amora P3,38.620336,-9.127860,0,0,1,0,,Foros De Amóra ( P 3 ),0,,,149990,,1,,,,,,,1510,Seixal,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149991,Foros de Amora P2,38.620413,-9.127972,0,0,1,0,,Foros De Amóra ( P 2 ),0,,,149991,,1,,,,,,,1510,Seixal,15,Setúbal,PT170,AML,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
