code,name,geocoder_address,address,locality,municipality,district,postal_code,nature,cicle
226440,"Escola Básica de Gâmbia, Setúbal","R. da Escola, 2910-210 SETÚBAL, Setúbal, Portugal",R. da Escola,SETÚBAL,Setúbal,Setúbal,2910-210,Publico,Pré-escolar|1º Ciclo
293866,"Escola Básica de Fidalguinhos, Barreiro","Urbanização dos Fidalguinhos, 2835-440 LAVRADIO, Barreiro, Portugal",Urbanização dos Fidalguinhos,LAVRADIO,Barreiro,Setúbal,2835-440,Publico,Pré-escolar|1º Ciclo
516727,Infantário de Nossa Senhora da Purificação,"Praça Gonçalo Trancoso, n.º 4, 1700-220 LISBOA, Lisboa, Portugal","Praça Gonçalo Trancoso, n.º 4",LISBOA,Lisboa,Lisboa,1700-220,Privado,Pré-escolar
518116,A Creche Sempre Em Flor - São Carlos,"Rua Da Lagoa Marinha, 15, 2725-355 MEM MARTINS, Sintra, Portugal","Rua Da Lagoa Marinha, 15",MEM MARTINS,Sintra,Lisboa,2725-355,Privado,Pré-escolar
504221,Escola do Grémio De Instrução Liberal De Campo De Ourique,"Largo Dr. António Viana, n.º 4, 1250-096 LISBOA, Lisboa, Portugal","Largo Dr. António Viana, n.º 4",LISBOA,Lisboa,Lisboa,1250-096,Privado,Pré-escolar|1º Ciclo|2º Ciclo|3º Ciclo
345180,"Escola Básica Hermenegildo Capelo, Palmela","Rua da Esc. Prep. Hermenegildo Capelo, 2, 2950-000 PALMELA, Palmela, Portugal","Rua da Esc. Prep. Hermenegildo Capelo, 2",PALMELA,Palmela,Setúbal,2950-000,Publico,2º Ciclo|3º Ciclo
645655,"Jardim de Infância do Bairro 25 de Abril, Santo André, Barreiro","Rua da Resistência ao Fascismo - Bairro 25 de Abril , 2830-000 BARREIRO, Barreiro, Portugal",Rua da Resistência ao Fascismo - Bairro 25 de Abril ,BARREIRO,Barreiro,Setúbal,2830-000,Publico,Pré-escolar
519637,Jardim de Infância da Associação de Moradores da Praça do Brasil - O Girassol,"Rua Dona Ana De Brougthon Gamito, n.º 3, 2900-225 SETÚBAL, Setúbal, Portugal","Rua Dona Ana De Brougthon Gamito, n.º 3",SETÚBAL,Setúbal,Setúbal,2900-225,Privado,Pré-escolar
244740,"Escola Básica n.º 2 de Belas, Sintra","R. Casal da Vinha, nº 2, 2605-108 BELAS, Sintra, Portugal","R. Casal da Vinha, nº 2",BELAS,Sintra,Lisboa,2605-108,Publico,1º Ciclo
517756,Jardim De Infância Da Casa Nossa Senhora De Fátima,"Rua Cândido Dos Reis, N.º 12, 2730-041 BARCARENA, Oeiras, Portugal","Rua Cândido Dos Reis, N.º 12",BARCARENA,Oeiras,Lisboa,2730-041,Privado,Pré-escolar
518300,Jardim Infantil da Casa de Nossa Senhora da Conceição,"Quinta da Fonte EN - 9, 2710-330 SINTRA, Sintra, Portugal",Quinta da Fonte EN - 9,SINTRA,Sintra,Lisboa,2710-330,Privado,Pré-escolar
340285,"Escola Básica António Sérgio, Cacém, Sintra","Avenida dos Missionários, 2735-136 AGUALVA-CACÉM, Sintra, Portugal",Avenida dos Missionários,AGUALVA-CACÉM,Sintra,Lisboa,2735-136,Publico,2º Ciclo|3º Ciclo
507659,Jardim Escola Vale Rosal,"Rua António Costa Cabral n.º 21, 2820-214 CHARNECA DA CAPARICA, Almada, Portugal",Rua António Costa Cabral n.º 21,CHARNECA DA CAPARICA,Almada,Setúbal,2820-214,Privado,Pré-escolar
502110,"Jardim Infantil ""Beloquitas""","Rua José Dias Coelho, 32-r/c Esq., 1300-328 LISBOA, Lisboa, Portugal","Rua José Dias Coelho, 32-r/c Esq.",LISBOA,Lisboa,Lisboa,1300-328,Privado,Pré-escolar
