pattern_id,velocity
4551_0_2,20.33
4560_0_1,30.10
4560_0_2,29.59
4560_1_1,25.26
4560_1_2,24.51
4561_0_1,35.87
4561_0_2,35.75
4562_0_1,26.54
4562_0_2,25.16
4562_1_1,23.72
4562_2_1,28.43
4562_2_2,27.67
4562_3_1,30.22
4562_3_2,29.56
4562_4_1,26.38
4562_5_1,23.32
4562_5_2,24.18
4562_7_2,23.18
4600_0_1,24.12
4600_0_2,24.45
4600_1_1,23.56
4600_1_2,23.09
4601_0_1,24.99
4601_0_2,26.42
4601_1_1,24.67
4602_0_1,20.41
4602_0_2,19.19
4603_0_1,31.49
4603_0_2,31.72
4604_0_1,23.48
4604_0_2,25.60
4605_0_1,27.49
4605_0_2,27.49
4610_0_1,32.92
4610_0_2,32.07
4611_0_1,27.31
4611_0_2,28.20
4612_0_1,33.39
4612_0_2,33.53
4620_0_1,28.18
4620_0_2,27.27
4621_0_1,32.29
4621_0_2,29.98
4630_0_1,36.83
4630_0_2,36.50
4631_0_1,36.88
4631_0_2,36.02
4631_1_1,40.09
4631_1_2,41.51
4632_0_1,25.35
4632_0_2,28.36
4640_0_1,17.66
4640_0_2,24.76
4641_0_1,39.17
4641_0_2,40.48
4642_0_1,30.70
4642_0_2,31.80
4642_1_1,32.72
4642_1_2,32.50
4643_0_1,29.98
4643_0_2,30.98
4701_0_1,39.79
4701_0_2,40.50
4701_1_2,38.09
4701_2_2,48.38
4702_0_1,49.20
4702_0_2,47.47
4703_0_1,44.36
4703_0_2,43.40
4704_0_1,44.99
4704_0_2,45.93
4705_0_1,43.86
4705_0_2,46.36
4706_0_1,45.99
4706_0_2,43.79
4707_0_1,51.13
4707_0_2,54.23
4710_0_1,42.79
4710_0_2,42.99
4711_0_2,51.78
4715_0_1,59.87
4715_0_2,62.34
4715_1_1,58.19
4715_1_2,60.08
4720_0_1,56.04
4720_0_2,57.03
4720_1_1,56.12
4720_1_2,54.64
4725_0_1,40.58
4725_0_2,41.75
4725_1_1,51.53
4725_1_2,51.03
4730_0_1,30.96
4730_0_2,33.60
4730_1_1,32.05
4730_1_2,36.60
4730_2_1,36.53
4730_2_2,39.78
