stop_id,tts
010137,Alcochete ( Avenida Canto Do Pinheiro 698 )
010138,Alcochete ( Avenida Canto Do Pinheiro 698 )
010139,Cruzamento Entre ( Avenida Canto Do Pinheiro ) E ( Rua Fernando Pessoa )
010140,Cruzamento Entre ( Avenida Canto Do Pinheiro ) E ( Rua Fernando Pessoa )
010141,Alcochete ( Rua Maria Lamas Lóte 1 )
010142,Alcochete ( Rua Maria Lamas Lóte 1 )
010143,Cruzamento Entre ( Rua 25 Abril ( Estrada Municipal 501 ) ) E ( Passeio Caravelas )
010145,Cruzamento Entre ( Estrada Municipal 501 ) E ( ( Estação ) Dos Canaviais )
010146,Cruzamento Entre ( Estrada Municipal 501 ) E ( ( Estação ) Dos Canaviais )
010147,Cruzamento Entre ( Rua 25 Abril ( Estrada Municipal 501 ) ) E ( Passeio Caravelas )
010149,Cruzamento Entre ( Estrada Nacional 4 ) E ( Academia Sporting )
010150,Cruzamento Entre ( Estrada Nacional 4 ) E ( Academia Sporting )
010151,Estrada Nacional 4 ( Monte Laranjo )
010152,Estrada Nacional 4 ( Monte Laranjo )
010153,Estrada Nacional 4 ( Rilvas )
010154,Estrada Nacional 4 ( Rilvas )
010155,Estrada Nacional 4 ( Fábrica )
010157,Estrada Nacional 5 ( Agro Albuquerque )
010158,Estrada Nacional 5 ( Agro Albuquerque )
010159,Alcochete ( Rotunda Do Entroncamento )
010161,Largo Gago Coutinho 5 - Igreja Matriz
010167,Rotunda Entroncamento ( Posto De Combustível )
010171,Estrada Municipal 502 ( Rua Cirio Aldegalega )
010173,Estrada Real ( Colegio Penas )
010174,Estrada Real ( Colegio Penas )
010175,Zona Industrial Passil
020001,Pragal ( Portagem )
020003,Pragal ( Portagem )
020005,Costa Da Caparíca ( Terminal ( P 1 ) )
020006,Costa Da Caparíca ( Terminal ( P 1 ) )
020007,Costa Da Caparíca ( Terminal ( P 1 ) )
020009,Almada ( Largo Cristo Rei ) Terminal
020011,Almada ( Avenida Cristo Rei ) Núcleo Água
020012,Almada ( Avenida Cristo Rei ) Núcleo Água
020013,Almada ( Avenida Cristo Rei ( Número 41 ) )
020014,Almada ( Avenida Cristo Rei ( Número 41 ) )
020015,Almada ( Avenida Cristo Rei ( Número 17 B ) )
020017,Almada ( Largo Infante Dom António ( Número 2 ) )
020019,Almada ( Rua Capitão Leitão ( Número 107 ) )
020021,Almada ( Rua Capitão Leitão ( Número 79 ) )
020023,Almada ( Rua Capitão Leitão ( Número 43 Á ) )
020025,Almada ( Rua Capitão Leitão ( Número 3 B ) )
020027,Almada ( Rua Bernardo Francisco Costa 73 )
020028,Almada ( Rua Bernardo Francisco Costa 73 )
020029,Almada ( Rua Bernardo Francisco Costa 13 )
020030,Almada ( Rua Bernardo Francisco Costa 13 )
020031,Almada Praça Gil Vicente 4 ( Escola )
020033,Cacilhas Avenida 25 Abril 45 Cê ( Segurança Social )
020035,Cacilhas ( Avenida 25 Abril ( Número 3 Á ) )
020037,Cacilhas ( Terminal ) ( P 5 )
020039,Cacilhas ( Avenida 25 Abril ( Número 6 ) )
020041,Cacilhas ( Avenida 25 Abril ( Número 30 ) )
020043,Almada ( Avenida Dom Afonso Henriques 2 )
020045,Almada Avenida Dom Afonso Henriques 18 ( Correios )
020047,Avenida Dom Nuno Álvares Pereira Práça São João Baptista
020049,Almada ( Rua Mendo G Seabra ( Número 3 B ) )
020051,Almada ( Rua Manuel São Coutinho ( Número 5 ) )
020053,Almada ( Rua Fernão Lourenço 45 ) Seminário
020054,Almada ( Rua Fernão Lourenço 45 ) Seminário
020055,Almada ( Rua Fernão Lourenço 57 B ) Seminário
020057,Almada ( Rua Rainha Dona Leonor ) Parque Urbano
020058,Almada ( Rua Rainha Dona Leonor ) Parque Urbano
020059,Almada ( Práça São João Baptista ( Número 3 ) )
020061,Almada ( Avenida Dom Nuno Álvares Pereira 56 )
020063,Almada ( Rua Caetano M Batalha ( Número 9 ) )
020064,Almada ( Rua Caetano M Batalha ( Número 9 ) )
020065,Cova Piedade Rua Liberdade 56 Cê ( Urpica )
020066,Cova Piedade Rua Liberdade 56 Cê ( Urpica )
020067,Cova Piedade Rua Liberdade 63 ( Rotunda )
020069,Cova Piedade ( Cruzamento Entre ( Avenida 23 Julho ) E ( Estrada Brejo ) )
020071,Cóva Piedade Rua Sameiro Antunes Farmácia
020072,Cóva Piedade Rua Sameiro Antunes Farmácia
020073,Pragal ( Avenida Jose Cê Pires ) Estação
020075,Avenida Torrado Da Silva Boa Esperança
020077,Cova Piedade ( Avenida 23 Julho ) Posto De Combustível
020079,Cova Piedade Rua Cooperativa Piedense 71
020081,Rua Liberdade 51 - Ringue Pombal
020083,Almada ( Avenida Dom Nuno Álvares Pereira 45 )
020085,Almada ( Práça São João Baptista ) Junto Banco
020087,Feijó ( Almada Fórum )
020088,Feijó ( Almada Fórum )
020089,Feijó ( Rua António Aleixo ( Número 6 ) )
020090,Feijó ( Rua António Aleixo ( Número 6 ) )
020091,Rua Ary Santos 16 - Centro Comercial
020092,Rua Ary Santos 16 - Centro Comercial
020093,Bairro B Gonçalves ( Rua Ary Santos 4 B )
020094,Bairro B Gonçalves ( Rua Ary Santos 4 B )
020095,Rua Amadeu Sousa Cardoso ( Escola )
020096,Rua Amadeu Sousa Cardoso ( Escola )
020097,Bairro Gonçalves Rua Almáda Negreiros 4 ( Escola )
020098,Bairro Gonçalves Rua Almáda Negreiros 4 ( Escola )
020099,Cova Piedade ( Largo Antero Quental 11 )
020100,Cova Piedade ( Largo Antero Quental 11 )
020101,Cova Piedade ( Rua Cabo B Esperança 7 Á )
020103,Cova Piedade ( Avenida Rainha Dona Leonor 59 )
020104,Cova Piedade ( Avenida Rainha Dona Leonor 59 )
020105,Cova Piedade ( Avenida Rainha Dona Leonor 16 )
020106,Cova Piedade ( Avenida Rainha Dona Leonor 16 )
020107,Cova Piedade ( Avenida Rainha Dona Leonor 13 )
020109,Rua Dom Sancho Primeiro 23 ( Externato/ Centro De Saúde )
020110,Rua Dom Sancho Primeiro 23 ( Externato/ Centro De Saúde )
020111,Almada ( Rua Dom Sancho Primeiro ( Número 25 Á ) )
020112,Almada ( Rua Dom Sancho Primeiro ( Número 25 Á ) )
020113,Cacilhas ( Terminal ) ( P 9 )
020115,Almada ( Rua Dom Sancho Primeiro 2 ) Escola Cacilhas
020117,Almada Rua Rainha Dona Leonor 23 ( Escola )
020119,Cova Piedade ( Rua Cabo B Esperança 13 )
020121,Feijó ( Cemitério )
020123,Vale Flores ( Rua Quinta Flores 45 Á ) Escola Primária
020124,Vale Flores ( Rua Quinta Flores 45 Á ) Escola Primária
020125,Vale Flores ( Rua Quinta Flores 77 ) Descida
020127,Vale Flores ( Rua Quinta Flores ( Número 93 ) )
020128,Vale Flores ( Rua Quinta Flores ( Número 93 ) )
020129,Vale Flores ( Rua Quinta Flores ) Túnel/rotunda
020130,Vale Flores ( Rua Quinta Flores ) Túnel/rotunda
020131,Vale Flores ( Rua Quinta Flores ( Número 4 ) )
020132,Vale Flores ( Rua Quinta Flores ( Número 4 ) )
020133,Vale Flores ( Rua Piteira Santos 5 Á ) Zona Industrial
020134,Vale Flores ( Rua Piteira Santos 5 Á ) Zona Industrial
020135,Vale Figueira ( Estrada Nacional 10 - 1 ) Entre Rotundas
020136,Vale Figueira ( Estrada Nacional 10 - 1 ) Entre Rotundas
020137,Rua Do Povo 18
020138,Rua Do Povo 18
020139,Casal Santo António ( Rua Do Povo )
020140,Casal Santo António ( Rua Do Povo )
020141,Cruzamento Entre ( Rua Henrique Alves ) E ( Rua Povo )
020142,Cruzamento Entre ( Rua Henrique Alves ) E ( Rua Povo )
020143,Cruzamento Entre ( Rua Henrique Alves ) E ( Rua Povo )
020144,Cruzamento Entre ( Rua Henrique Alves ) E ( Rua Povo )
020145,Vale Figueira Rua Dr Á Araújo ( Escola )
020146,Vale Figueira Rua Dr Á Araújo ( Escola )
020147,Vale Figueira ( Rua Vale Figueira ) Posto De Abastecimento
020149,Vale Figueira ( Estrada Bela Vista ) Câmara Municipal Almada
020150,Vale Figueira ( Estrada Bela Vista ) Câmara Municipal Almada
020151,Vale Fetal ( Estrada Bela Vista 60 )
020153,Estrada Bela Vista 100 Rotunda Marco Geodésico
020154,Estrada Bela Vista 100 Rotunda Marco Geodésico
020155,Vale Fetal ( Cruzamento Entre ( Estrada Bela Vista ) E ( Rua Cris Lopes ) )
020156,Vale Fetal ( Cruzamento Entre ( Estrada Bela Vista ) E ( Rua Cris Lopes ) )
020157,Vale Fetal Estrada Bela Vista 186 ( Escola )
020158,Vale Fetal Estrada Bela Vista 186 ( Escola )
020159,Charnéca De Caparíca ( Cruzamento Entre ( Estrada B Vista 206 ) E ( Quinta Nova ) )
020160,Charnéca De Caparíca ( Cruzamento Entre ( Estrada B Vista 206 ) E ( Quinta Nova ) )
020161,Charnéca De Caparíca ( Rua Ramada Curto 13 )
020163,Palhais Rua Azinhaga Carreta 9 ( Rotunda )
020164,Rua Rui Furtado ( Rotunda )
020165,Alameda Amália Rodrigues
020166,Alameda Amália Rodrigues
020167,Charnéca De Caparíca ( Rua Presidente Arriaga 72 )
020168,Charnéca De Caparíca ( Rua Presidente Arriaga 72 )
020169,Rua Das Sardinheiras ( Número 15 )
020170,Rua Das Sardinheiras ( Número 15 )
020171,Rua Pero Vaz De Caminha ( Número 17 )
020172,Rua Pero Vaz De Caminha ( Número 17 )
020173,Rua De Vera Cruz ( Número 49 )
020174,Rua De Vera Cruz ( Número 49 )
020175,Rua Quinta Dos Eucaliptos ( Número 31 )
020176,Rua Quinta Dos Eucaliptos ( Número 31 )
020177,Charnéca De Caparíca ( Rua Pedro Costa 1284 ) Vale Bem
020178,Charnéca De Caparíca ( Rua Pedro Costa 1284 ) Vale Bem
020179,Charnéca De Caparíca ( Rua Pedro Costa ) Tremoceira
020180,Charnéca De Caparíca ( Rua Pedro Costa ) Tremoceira
020181,Marisol ( Rua António Soares ( Número 10 ) )
020182,Marisol ( Rua António Soares ( Número 10 ) )
020183,Charnéca De Caparíca Rotunda Alameda Amália Rodrigues 3
020184,Charnéca De Caparíca Rotunda Alameda Amália Rodrigues 3
020185,Charnéca De Caparíca ( Rua Elias Garcia ) Monserrate
020186,Charnéca De Caparíca ( Rua Elias Garcia ) Monserrate
020187,Charnéca De Caparíca ( Estrada Bela Vista 191 )
020189,Charnéca De Caparíca ( Cruzamento Entre ( Estrada Bela Vista 179 ) E ( Quinta Nova ) )
020191,Vale Fetal Estrada Bela Vista 71 ( Rotunda )
020193,Vale Figueira ( Rua Vale Figueira ) Posto De Abastecimento
020195,Vale Figueira ( Rua Vale Figueira ) Centro Hip
020197,Feijó ( Cemitério ) Externato
020199,Almada ( Práça Gil Vicente ) Escola
020201,Praça Comércio 5 B ( Cais )
020203,Rua Fernão Lopes 14
020205,Almada ( Rua Capitão Leitão ( Número 79 ) )
020207,Almada ( Rua Capitão Leitão ( Número 107 ) )
020209,Almada ( Rua Capitão Leitão ( Número 43 Á ) )
020211,Rua Dom José De Mascarenhas ( Número 65 )
020213,Rua Francisco De Andrade 1
020215,Rua Infanta Dona Beatriz 1
020217,Rua Elias Garcia 36 Á
020219,Cacilhas ( Largo Alfredo Dinis Alex) Terminál ( P 3 )
020221,25 De Abril
020223,Aroeira ( Avenida Belverde 1 )
020224,Aroeira ( Avenida Belverde 1 )
020225,Avenida Dom Afonso Henriques ( Número 28 )
020226,Avenida Dom Afonso Henriques ( Número 28 )
020227,Avenida Dom Afonso Henriques ( Número 24 Á )
020228,Avenida Dom Afonso Henriques ( Número 24 Á )
020229,Marisol ( Cruzamento Entre ( Rua Soares Reis ) E ( Rua Dom João Segundo ) )
020230,Marisol ( Cruzamento Entre ( Rua Soares Reis ) E ( Rua Dom João Segundo ) )
020231,Marisol ( Rua António Soares ( Número 74 ) )
020232,Marisol ( Rua António Soares ( Número 74 ) )
020233,Avenida De Vale Bem 35
020235,Avenida De Vale Bem - Escola Básica / Associação
020237,Marisol ( Rua Manuel Fevereiro 5 )
020238,Marisol ( Rua Manuel Fevereiro 5 )
020239,Rua António Quadros 39 ( Aroeira )
020240,Rua António Quadros 39 ( Aroeira )
020241,Rua Soeiro Pereira Gomes 68 Á
020242,Rua Soeiro Pereira Gomes 68 Á
020243,Avenida Ilha Da Madeira 50 Á
020244,Avenida Ilha Da Madeira 50 Á
020245,Cruzamento Entre ( Avenida Mar ) E ( Rua José Malhoa ( Rotunda ) )
020246,Cruzamento Entre ( Avenida Mar ) E ( Rua José Malhoa ( Rotunda ) )
